point_id,mileage,zone,session,date,increment_mm,rate,cumulative_mm,replicate
C2,K21+155,K21,5,2022-04-27,-1.6,-0.08,-0.2,1
C2,K21+155,K21,6,2022-05-31,-2.0,-0.06,-2.2,1
C2,K21+155,K21,7,2022-06-24,2.0,0.08,-0.2,1
C2,K21+155,K21,8,2022-07-16,-0.9,-0.04,-1.1,1
C20,K22+320,K22,1,2021-12-10,3.7,0.14,3.7,1
C20,K22+320,K22,2,2022-02-18,-0.1,0.0,3.6,1
C20,K22+320,K22,3,2022-03-08,-1.0,-0.05,2.6,1
C20,K22+320,K22,4,2022-04-06,1.9,0.06,4.5,1
C20,K22+320,K22,5,2022-04-27,-1.0,-0.05,3.5,1
C20,K22+320,K22,6,2022-05-31,-1.9,-0.06,1.5,1
C20,K22+320,K22,7,2022-06-24,-0.3,-0.01,1.3,1
C20,K22+320,K22,8,2022-07-16,-0.6,-0.03,0.6,1
C21,,RAMP,1,2021-12-10,-1.2,-0.04,-1.2,1
C21,,RAMP,2,2022-02-18,1.6,0.02,0.4,1
C21,,RAMP,3,2022-03-08,-0.9,-0.05,-0.5,1
C21,,RAMP,4,2022-04-06,0.8,0.03,0.3,1
C21,,RAMP,5,2022-04-27,-1.0,-0.05,-0.7,1
C21,,RAMP,6,2022-05-31,-1.0,-0.03,-1.7,1
C21,,RAMP,7,2022-06-24,0.5,0.02,-1.2,1
C21,,RAMP,8,2022-07-16,1.5,0.07,0.3,1
C22,,RAMP,1,2021-12-10,-1.5,-0.06,-1.5,1
C22,,RAMP,2,2022-02-18,1.3,0.02,-0.2,1
C22,,RAMP,3,2022-03-08,-1.1,-0.06,-1.3,1
C22,,RAMP,4,2022-04-06,1.9,0.07,0.6,1
C22,,RAMP,5,2022-04-27,-0.8,-0.04,-0.2,1
C22,,RAMP,6,2022-05-31,-2.6,-0.08,-2.8,1
C22,,RAMP,7,2022-06-24,0.3,0.01,-2.5,1
C22,,RAMP,8,2022-07-16,1.4,0.06,-1.1,1
C23,,RAMP,1,2021-12-10,3.6,0.13,3.6,1
C23,,RAMP,2,2022-02-18,1.0,0.01,4.6,1
C23,,RAMP,3,2022-03-08,-1.2,-0.07,3.4,1
C23,,RAMP,4,2022-04-06,0.1,0.0,3.5,1
C23,,RAMP,5,2022-04-27,1.2,0.05,4.7,1
C23,,RAMP,6,2022-05-31,-0.1,0.0,4.6,1
C23,,RAMP,7,2022-06-24,-1.1,-0.04,3.5,1
C23,,RAMP,8,2022-07-16,1.0,0.04,4.5,1
C24,JPK20+790,JPK,1,2021-12-10,2.6,0.09,2.6,1
C24,JPK20+790,JPK,2,2022-02-18,1.9,0.03,4.5,1
C24,JPK20+790,JPK,3,2022-03-08,-1.0,-0.06,3.4,1
C24,JPK20+790,JPK,4,2022-04-06,0.0,0.0,3.5,1
C24,JPK20+790,JPK,5,2022-04-27,1.1,0.05,4.6,1
C24,JPK20+790,JPK,6,2022-05-31,-0.6,-0.02,4.0,1
C24,JPK20+790,JPK,7,2022-06-24,0.7,0.03,4.8,1
C24,JPK20+790,JPK,8,2022-07-16,-1.0,-0.04,3.8,1
C25,JPK20+850,JPK,1,2021-12-10,3.0,0.11,3.0,1
C25,JPK20+850,JPK,2,2022-02-18,1.7,0.02,4.7,1
C25,JPK20+850,JPK,3,2022-03-08,0.0,0.0,4.6,1
C25,JPK20+850,JPK,4,2022-04-06,1.6,0.06,6.3,1
C25,JPK20+850,JPK,5,2022-04-27,2.1,0.1,8.3,1
C25,JPK20+850,JPK,6,2022-05-31,-2.8,-0.08,5.5,1
C25,JPK20+850,JPK,7,2022-06-24,-1.7,-0.07,3.8,1
C25,JPK20+850,JPK,8,2022-07-16,0.2,0.01,4.0,1
C26,JPK20+890,JPK,1,2021-12-10,2.1,0.08,2.1,1
C26,JPK20+890,JPK,2,2022-02-18,2.7,0.04,4.8,1
C26,JPK20+890,JPK,3,2022-03-08,-1.0,-0.06,3.8,1
C26,JPK20+890,JPK,4,2022-04-06,1.7,0.06,5.5,1
C26,JPK20+890,JPK,5,2022-04-27,1.0,0.05,6.5,1
C26,JPK20+890,JPK,6,2022-05-31,-2.7,-0.08,3.8,1
C26,JPK20+890,JPK,7,2022-06-24,-2.0,-0.08,1.8,1
C26,JPK20+890,JPK,8,2022-07-16,-0.9,-0.04,0.9,1
C27,JPK20+920,JPK,1,2021-12-10,3.0,0.11,3.0,1
C27,JPK20+920,JPK,2,2022-02-18,3.2,0.05,6.2,1
C27,JPK20+920,JPK,3,2022-03-08,-1.0,-0.06,5.2,1
C27,JPK20+920,JPK,4,2022-04-06,0.0,0.0,5.2,1
C27,JPK20+920,JPK,5,2022-04-27,1.9,0.09,7.1,1
C27,JPK20+920,JPK,6,2022-05-31,1.6,0.05,8.7,1
C27,JPK20+920,JPK,7,2022-06-24,-0.2,-0.01,8.5,1
C27,JPK20+920,JPK,8,2022-07-16,-1.1,-0.05,7.4,1
C28,JPK21+060,JPK,1,2021-12-10,3.0,0.11,3.0,1
C28,JPK21+060,JPK,2,2022-02-18,2.7,0.04,5.7,1
C28,JPK21+060,JPK,3,2022-03-08,-1.1,-0.06,4.5,1
C28,JPK21+060,JPK,4,2022-04-06,0.0,0.0,4.5,1
C28,JPK21+060,JPK,5,2022-04-27,0.9,0.04,5.4,1
C28,JPK21+060,JPK,6,2022-05-31,-1.7,-0.05,3.7,1
C28,JPK21+060,JPK,7,2022-06-24,1.0,0.04,4.7,1
C28,JPK21+060,JPK,8,2022-07-16,-0.1,0.0,4.7,1
C29,JPK21+010,JPK,1,2021-12-10,2.6,0.1,2.6,1
C29,JPK21+010,JPK,2,2022-02-18,2.7,0.04,5.3,1
C29,JPK21+010,JPK,3,2022-03-08,-1.1,-0.06,4.3,1
C29,JPK21+010,JPK,4,2022-04-06,1.9,0.06,6.1,1
C29,JPK21+010,JPK,5,2022-04-27,1.2,0.06,7.3,1
C29,JPK21+010,JPK,6,2022-05-31,-2.3,-0.07,5.0,1
C29,JPK21+010,JPK,7,2022-06-24,0.6,0.03,5.6,1
C29,JPK21+010,JPK,8,2022-07-16,-1.2,-0.05,4.4,1
C3,K21+155,K21,1,2021-12-10,1.1,0.04,1.1,1
C3,K21+155,K21,2,2022-02-18,0.9,0.01,2.0,1
C3,K21+155,K21,3,2022-03-08,-1.1,-0.06,0.9,1
C3,K21+155,K21,4,2022-04-06,-0.3,-0.01,0.7,1
C3,K21+155,K21,5,2022-04-27,-1.7,-0.08,-1.1,1
C3,K21+155,K21,6,2022-05-31,-1.5,-0.05,-2.6,1
C3,K21+155,K21,7,2022-06-24,-1.0,-0.04,-3.6,1
C3,K21+155,K21,8,2022-07-16,1.1,0.05,-2.5,1
C30,JPK21+060,JPK,1,2021-12-10,4.0,0.15,4.0,1
C30,JPK21+060,JPK,2,2022-02-18,-1.1,-0.02,2.9,1
C30,JPK21+060,JPK,3,2022-03-08,-1.1,-0.06,1.8,1
C30,JPK21+060,JPK,4,2022-04-06,0.3,0.01,2.1,1
C30,JPK21+060,JPK,5,2022-04-27,0.9,0.04,2.9,1
C30,JPK21+060,JPK,6,2022-05-31,1.3,0.04,4.2,1
C30,JPK21+060,JPK,7,2022-06-24,0.4,0.02,4.6,1
C30,JPK21+060,JPK,8,2022-07-16,-0.1,0.0,4.5,1
C31,JPK21+060,JPK,1,2021-12-10,1.8,0.07,1.8,1
C31,JPK21+060,JPK,2,2022-02-18,3.1,0.04,4.9,1
C31,JPK21+060,JPK,3,2022-03-08,-0.9,-0.05,4.0,1
C31,JPK21+060,JPK,4,2022-04-06,-1.2,-0.04,2.8,1
C31,JPK21+060,JPK,5,2022-04-27,0.9,0.04,3.7,1
C31,JPK21+060,JPK,6,2022-05-31,-1.7,-0.05,2.0,1
C31,JPK21+060,JPK,7,2022-06-24,0.2,0.01,2.1,1
C31,JPK21+060,JPK,8,2022-07-16,-0.7,-0.03,1.4,1
C32,JPK21+140,JPK,1,2021-12-10,1.8,0.07,1.8,1
C32,JPK21+140,JPK,2,2022-02-18,1.3,0.02,3.2,1
C32,JPK21+140,JPK,3,2022-03-08,-1.0,-0.06,2.2,1
C32,JPK21+140,JPK,4,2022-04-06,2.0,0.07,4.2,1
C32,JPK21+140,JPK,5,2022-04-27,1.1,0.05,5.3,1
C32,JPK21+140,JPK,6,2022-05-31,-0.1,0.0,5.2,1
C32,JPK21+140,JPK,7,2022-06-24,0.3,0.01,5.5,1
C32,JPK21+140,JPK,8,2022-07-16,1.5,0.07,7.1,1
C33,JPK21+180,JPK,1,2021-12-10,1.4,0.05,1.4,1
C33,JPK21+180,JPK,2,2022-02-18,-0.1,0.0,1.3,1
C33,JPK21+180,JPK,3,2022-03-08,-1.0,-0.06,0.2,1
C33,JPK21+180,JPK,4,2022-04-06,0.5,0.02,0.7,1
C33,JPK21+180,JPK,5,2022-04-27,1.0,0.05,1.8,1
C33,JPK21+180,JPK,6,2022-05-31,2.5,0.07,4.2,1
C33,JPK21+180,JPK,7,2022-06-24,0.8,0.03,5.0,1
C33,JPK21+180,JPK,8,2022-07-16,1.9,0.09,7.0,1
C34,JPK21+220,JPK,1,2021-12-10,2.5,0.09,2.5,1
C34,JPK21+220,JPK,2,2022-02-18,-1.1,-0.02,1.5,1
C34,JPK21+220,JPK,3,2022-03-08,-1.3,-0.07,0.1,1
C34,JPK21+220,JPK,4,2022-04-06,1.9,0.07,2.1,1
C34,JPK21+220,JPK,5,2022-04-27,-2.1,-0.1,0.0,1
C34,JPK21+220,JPK,6,2022-05-31,-2.2,-0.06,-2.2,1
C34,JPK21+220,JPK,7,2022-06-24,-0.8,-0.03,-3.0,1
C34,JPK21+220,JPK,8,2022-07-16,1.6,0.07,-1.4,1
C35,,RAMP,1,2021-12-10,3.3,0.12,3.3,1
C35,,RAMP,2,2022-02-18,3.3,0.05,6.6,1
C35,,RAMP,3,2022-03-08,0.9,0.05,7.5,1
C35,,RAMP,4,2022-04-06,-2.1,-0.07,5.4,1
C35,,RAMP,5,2022-04-27,2.1,0.1,7.4,1
C35,,RAMP,6,2022-05-31,2.8,0.08,10.2,1
C35,,RAMP,7,2022-06-24,-0.6,-0.02,9.6,1
C35,,RAMP,8,2022-07-16,1.4,0.06,11.0,1
C36,,RAMP,1,2021-12-10,0.8,0.03,0.8,1
C36,,RAMP,2,2022-02-18,3.0,0.04,3.8,1
C36,,RAMP,3,2022-03-08,-0.9,-0.05,2.9,1
C36,,RAMP,4,2022-04-06,-2.0,-0.07,0.8,1
C36,,RAMP,5,2022-04-27,-2.9,-0.14,-2.1,1
C36,,RAMP,6,2022-05-31,-1.1,-0.03,-3.2,1
C36,,RAMP,7,2022-06-24,-0.9,-0.04,-4.1,1
C36,,RAMP,8,2022-07-16,-0.9,-0.04,-5.0,1
C37,,RAMP,1,2021-12-10,1.1,0.04,1.1,1
C37,,RAMP,2,2022-02-18,2.9,0.04,4.0,1
C37,,RAMP,3,2022-03-08,-3.9,-0.22,0.1,1
C37,,RAMP,4,2022-04-06,-0.2,-0.01,-0.1,1
C37,,RAMP,5,2022-04-27,-0.9,-0.04,-1.0,1
C37,,RAMP,6,2022-05-31,-2.2,-0.06,-3.2,1
C37,,RAMP,7,2022-06-24,1.6,0.07,-1.6,1
C37,,RAMP,8,2022-07-16,-2.0,-0.09,-3.6,1
C38,K22+890,K22,1,2021-12-10,0.9,0.04,0.9,1
C38,K22+890,K22,2,2022-02-18,0.1,0.0,1.1,1
C38,K22+890,K22,3,2022-03-08,-3.9,-0.22,-2.9,1
C38,K22+890,K22,4,2022-04-06,-1.2,-0.04,-4.1,1
C38,K22+890,K22,5,2022-04-27,-2.0,-0.1,-6.1,1
C38,K22+890,K22,6,2022-05-31,0.1,0.0,-6.0,1
C38,K22+890,K22,7,2022-06-24,-1.3,-0.06,-7.3,1
C38,K22+890,K22,8,2022-07-16,-0.5,-0.02,-7.8,1
C39,K23+000,K23,1,2021-12-10,0.9,0.04,0.9,1
C39,K23+000,K23,2,2022-02-18,1.7,0.02,2.6,1
C39,K23+000,K23,3,2022-03-08,-0.7,-0.04,1.9,1
C39,K23+000,K23,4,2022-04-06,1.5,0.05,3.4,1
C39,K23+000,K23,5,2022-04-27,0.8,0.04,4.2,1
C39,K23+000,K23,6,2022-05-31,-3.4,-0.1,0.9,1
C39,K23+000,K23,7,2022-06-24,-2.1,-0.09,-1.3,1
C39,K23+000,K23,8,2022-07-16,0.2,0.01,-1.1,1
C4,K21+400,K21,1,2021-12-10,-1.4,-0.05,-1.4,1
C4,K21+400,K21,2,2022-02-18,2.1,0.03,0.7,1
C4,K21+400,K21,3,2022-03-08,-1.2,-0.06,-0.4,1
C4,K21+400,K21,4,2022-04-06,-1.3,-0.04,-1.7,1
C4,K21+400,K21,5,2022-04-27,-1.7,-0.08,-3.4,1
C4,K21+400,K21,6,2022-05-31,-1.0,-0.03,-4.5,1
C4,K21+400,K21,7,2022-06-24,-1.7,-0.07,-6.1,1
C4,K21+400,K21,8,2022-07-16,-1.8,-0.08,-8.0,1
C40,K23+050,K23,1,2021-12-10,1.0,0.04,1.0,1
C40,K23+050,K23,2,2022-02-18,-0.3,0.0,0.6,1
C40,K23+050,K23,3,2022-03-08,-1.9,-0.11,-1.3,1
C40,K23+050,K23,4,2022-04-06,2.6,0.09,1.3,1
C40,K23+050,K23,5,2022-04-27,0.8,0.04,2.2,1
C40,K23+050,K23,6,2022-05-31,0.8,0.02,2.9,1
C40,K23+050,K23,7,2022-06-24,-0.8,-0.03,2.1,1
C40,K23+050,K23,8,2022-07-16,-0.1,0.0,2.0,1
C41,K23+080,K23,1,2021-12-10,0.7,0.03,0.7,1
C41,K23+080,K23,2,2022-02-18,-0.7,-0.01,0.1,1
C41,K23+080,K23,3,2022-03-08,-1.9,-0.11,-1.9,1
C41,K23+080,K23,4,2022-04-06,2.0,0.07,0.1,1
C41,K23+080,K23,5,2022-04-27,1.1,0.05,1.2,1
C41,K23+080,K23,6,2022-05-31,-1.9,-0.06,-0.7,1
C41,K23+080,K23,7,2022-06-24,-0.7,-0.03,-1.4,1
C41,K23+080,K23,8,2022-07-16,-1.8,-0.08,-3.1,1
C42,K23+120,K23,1,2021-12-10,0.8,0.03,0.8,1
C42,K23+120,K23,2,2022-02-18,-4.4,-0.06,-3.6,1
C42,K23+120,K23,3,2022-03-08,-2.2,-0.12,-5.7,1
C42,K23+120,K23,4,2022-04-06,1.3,0.04,-4.5,1
C42,K23+120,K23,5,2022-04-27,1.1,0.05,-3.4,1
C42,K23+120,K23,6,2022-05-31,-2.1,-0.06,-5.5,1
C42,K23+120,K23,7,2022-06-24,0.8,0.03,-4.7,1
C42,K23+120,K23,8,2022-07-16,-1.2,-0.05,-5.9,1
C43,K23+190,K23,1,2021-12-10,1.5,0.06,1.5,1
C43,K23+190,K23,2,2022-02-18,-3.9,-0.06,-2.4,1
C43,K23+190,K23,3,2022-03-08,-2.0,-0.11,-4.4,1
C43,K23+190,K23,4,2022-04-06,2.5,0.09,-1.8,1
C43,K23+190,K23,5,2022-04-27,0.8,0.04,-1.0,1
C43,K23+190,K23,6,2022-05-31,3.5,0.1,2.5,1
C43,K23+190,K23,7,2022-06-24,-1.2,-0.05,1.3,1
C43,K23+190,K23,8,2022-07-16,1.4,0.07,2.7,1
C44,K23+260,K23,1,2021-12-10,0.8,0.03,0.8,1
C44,K23+260,K23,2,2022-02-18,0.5,0.01,1.3,1
C44,K23+260,K23,3,2022-03-08,-1.6,-0.09,-0.4,1
C44,K23+260,K23,4,2022-04-06,0.8,0.03,0.5,1
C44,K23+260,K23,5,2022-04-27,1.0,0.05,1.5,1
C44,K23+260,K23,6,2022-05-31,0.4,0.01,1.9,1
C44,K23+260,K23,7,2022-06-24,-0.4,-0.02,1.5,1
C44,K23+260,K23,8,2022-07-16,1.2,0.05,2.7,1
C45,K23+320,K23,1,2021-12-10,0.4,0.02,0.4,1
C45,K23+320,K23,2,2022-02-18,0.1,0.0,0.5,1
C45,K23+320,K23,3,2022-03-08,-1.7,-0.09,-1.1,1
C45,K23+320,K23,4,2022-04-06,-0.1,0.0,-1.3,1
C45,K23+320,K23,5,2022-04-27,1.1,0.05,-0.2,1
C45,K23+320,K23,6,2022-05-31,3.2,0.09,3.0,1
C45,K23+320,K23,7,2022-06-24,-1.6,-0.07,1.4,1
C45,K23+320,K23,8,2022-07-16,-0.7,-0.03,0.7,1
C46,K23+400,K23,1,2021-12-10,-1.2,-0.05,-1.2,1
C46,K23+400,K23,2,2022-02-18,-0.3,0.0,-1.5,1
C46,K23+400,K23,3,2022-03-08,-2.2,-0.12,-3.7,1
C46,K23+400,K23,4,2022-04-06,1.0,0.03,-2.8,1
C46,K23+400,K23,5,2022-04-27,1.1,0.05,-1.7,1
C46,K23+400,K23,6,2022-05-31,-0.3,-0.01,-2.0,1
C46,K23+400,K23,7,2022-06-24,0.4,0.02,-1.6,1
C46,K23+400,K23,8,2022-07-16,-1.6,-0.07,-3.2,1
C47,K23+450,K23,1,2021-12-10,0.3,0.01,0.3,1
C47,K23+450,K23,2,2022-02-18,1.8,0.03,2.0,1
C47,K23+450,K23,3,2022-03-08,-1.6,-0.09,0.4,1
C47,K23+450,K23,4,2022-04-06,0.0,0.0,0.4,1
C47,K23+450,K23,5,2022-04-27,1.0,0.05,1.3,1
C47,K23+450,K23,6,2022-05-31,-0.9,-0.03,0.4,1
C47,K23+450,K23,7,2022-06-24,1.4,0.06,1.9,1
C47,K23+450,K23,8,2022-07-16,-0.1,-0.01,1.7,1
C48,K23+500,K23,1,2021-12-10,0.6,0.02,0.6,1
C48,K23+500,K23,2,2022-02-18,0.7,0.01,1.3,1
C48,K23+500,K23,3,2022-03-08,-2.0,-0.11,-0.7,1
C48,K23+500,K23,4,2022-04-06,-1.1,-0.04,-1.8,1
C48,K23+500,K23,5,2022-04-27,1.0,0.05,-0.8,1
C48,K23+500,K23,6,2022-05-31,-1.2,-0.04,-2.0,1
C48,K23+500,K23,7,2022-06-24,1.2,0.05,-0.8,1
C48,K23+500,K23,8,2022-07-16,-2.0,-0.09,-2.8,1
C49,K22+840,K22,1,2021-12-10,-1.2,-0.04,-1.2,1
C49,K22+840,K22,2,2022-02-18,-0.2,0.0,-1.4,1
C49,K22+840,K22,3,2022-03-08,-1.5,-0.08,-2.9,1
C49,K22+840,K22,4,2022-04-06,-0.3,-0.01,-3.2,1
C49,K22+840,K22,5,2022-04-27,1.0,0.05,-2.3,1
C49,K22+840,K22,6,2022-05-31,-3.0,-0.09,-5.3,1
C49,K22+840,K22,7,2022-06-24,1.7,0.07,-3.6,1
C49,K22+840,K22,8,2022-07-16,1.2,0.06,-2.3,1
C5,K21+470,K21,1,2021-12-10,-0.9,-0.03,-0.9,1
C5,K21+470,K21,2,2022-02-18,0.7,0.01,-0.2,1
C5,K21+470,K21,3,2022-03-08,-1.0,-0.06,-1.2,1
C5,K21+470,K21,4,2022-04-06,-0.9,-0.03,-2.1,1
C5,K21+470,K21,5,2022-04-27,-2.0,-0.09,-4.0,1
C5,K21+470,K21,6,2022-05-31,-1.4,-0.04,-5.5,1
C5,K21+470,K21,7,2022-06-24,-0.6,-0.02,-6.1,1
C5,K21+470,K21,8,2022-07-16,-1.1,-0.05,-7.2,1
C50,K22+800,K22,1,2021-12-10,1.4,0.05,1.4,1
C50,K22+800,K22,2,2022-02-18,0.0,0.0,1.4,1
C50,K22+800,K22,3,2022-03-08,-2.4,-0.13,-1.0,1
C50,K22+800,K22,4,2022-04-06,-2.7,-0.09,-3.7,1
C50,K22+800,K22,5,2022-04-27,-1.8,-0.09,-5.5,1
C50,K22+800,K22,6,2022-05-31,-0.8,-0.02,-6.4,1
C50,K22+800,K22,7,2022-06-24,1.9,0.08,-4.4,1
C50,K22+800,K22,8,2022-07-16,-1.8,-0.08,-6.2,1
C51,K22+790,K22,1,2021-12-10,-0.1,0.0,-0.1,1
C51,K22+790,K22,2,2022-02-18,-0.4,-0.01,-0.5,1
C51,K22+790,K22,3,2022-03-08,-2.3,-0.13,-2.8,1
C51,K22+790,K22,4,2022-04-06,-2.4,-0.08,-5.2,1
C51,K22+790,K22,5,2022-04-27,-3.0,-0.14,-8.2,1
C51,K22+790,K22,6,2022-05-31,-2.1,-0.06,-10.2,1
C51,K22+790,K22,7,2022-06-24,1.7,0.07,-8.5,1
C51,K22+790,K22,8,2022-07-16,0.6,0.03,-8.0,1
C52,K22+750,K22,1,2021-12-10,0.0,0.0,0.0,1
C52,K22+750,K22,2,2022-02-18,0.3,0.0,0.3,1
C52,K22+750,K22,3,2022-03-08,-2.3,-0.13,-1.9,1
C52,K22+750,K22,4,2022-04-06,1.4,0.05,-0.5,1
C52,K22+750,K22,5,2022-04-27,1.1,0.05,0.6,1
C52,K22+750,K22,6,2022-05-31,1.1,0.03,1.7,1
C52,K22+750,K22,7,2022-06-24,2.1,0.09,3.8,1
C52,K22+750,K22,8,2022-07-16,-1.3,-0.06,2.5,1
C53,K22+750,K22,1,2021-12-10,-0.8,-0.03,-0.8,1
C53,K22+750,K22,2,2022-02-18,-0.1,0.0,-0.9,1
C53,K22+750,K22,3,2022-03-08,-3.4,-0.19,-4.4,1
C53,K22+750,K22,4,2022-04-06,-1.7,-0.06,-6.1,1
C53,K22+750,K22,5,2022-04-27,-1.1,-0.05,-7.2,1
